subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,7/6/2018,12/21/2017,12/25/2017,Ipsos,B+,1208,rv,.0794325,0,46,30.8,50.63012,35.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50732,80098,12/26/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,12/22/2017,12/26/2017,Ipsos,B+,1218,rv,.0803692,0,45.7,30.7,50.33012,34.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50746,80118,12/29/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,12/23/2017,12/27/2017,Ipsos,B+,1212,rv,.0802352,0,45.1,30.3,49.73012,34.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50745,80117,12/29/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,12/24/2017,12/26/2017,YouGov,B,1236,rv,.5340591,0,44,36,49.06893,39.18279,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/h41dwa7h84/econTabReport.pdf,50738,80110,12/28/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,12/24/2017,12/28/2017,Ipsos,B+,1252,rv,.0831392,0,44.8,31.4,49.43012,35.6422,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50744,80116,12/29/2017,11:22:10  6 Jul 2018
All polls,7/6/2018,12/25/2017,12/29/2017,Ipsos,B+,1517,rv,.1010361,0,45.3,33,49.93012,37.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50750,80131,1/2/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,12/26/2017,12/30/2017,Ipsos,B+,1558,rv,.1041098,0,44.7,32.9,49.33012,37.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50749,80130,1/2/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,12/27/2017,12/31/2017,Ipsos,B+,1506,rv,.2019724,0,43.3,34.6,47.93012,38.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50760,80152,1/5/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,12/15/2017,1/15/2018,USC Dornsife/LA Times,C,3569,a,1.447865,0,51,40,49.82271,39.27436,"","",https://drive.google.com/file/d/1jwjRYzdaV4dNIjclxCA45RZlKcbZ0UF_/view,50818,80302,1/22/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,12/29/2017,1/2/2018,Ipsos,B+,508,rv,.0343704,0,41,33.9,45.63012,38.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50759,80151,1/5/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,12/30/2017,1/3/2018,Ipsos,B+,786,rv,.0532451,0,39.6,35.2,44.23012,39.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50758,80150,1/5/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,12/31/2017,1/2/2018,YouGov,B,1273,rv,.5494282,0,42,36,47.06893,39.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fzbo62v6dm/econTabReport.pdf,50752,80143,1/3/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,12/31/2017,1/4/2018,Ipsos,B+,1055,rv,.0714287,0,41.1,34.4,45.73012,38.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50757,80149,1/5/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/1/2018,1/5/2018,Ipsos,B+,1355,rv,.0915729,0,41.2,34.6,45.83012,38.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50779,80199,1/10/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/2/2018,1/6/2018,Ipsos,B+,1383,rv,.0932367,0,42.2,34.9,46.83012,39.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50778,80198,1/10/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/3/2018,1/7/2018,Ipsos,B+,1336,rv,.089785,0,42.1,34.2,46.73012,38.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50777,80197,1/10/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/4/2018,1/5/2018,Morning Consult,B-,1988,rv,.5597938,0,44,36,48.30625,37.4075,"","",https://morningconsult.com/wp-content/uploads/2018/01/180102_crosstabs_POLITICO_v1_AP-2.pdf,50770,80176,1/10/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/4/2018,1/8/2018,Ipsos,B+,1345,rv,.0900403,0,43.9,33.5,48.53012,37.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50776,80196,1/10/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/5/2018,1/9/2018,Ipsos,B+,1369,rv,.0912288,0,43.1,34.8,47.73012,39.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50793,80219,1/12/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/5/2018,1/9/2018,Quinnipiac University,A-,1106,rv,.9661549,0,52,35,49.85197,34.74236,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2512,50782,80209,1/11/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/5/2018,1/11/2018,McLaughlin & Associates,C-,1000,lv,.6447601,0,45,42,46.99123,39.50348,"","",http://mclaughlinonline.com/2018/01/15/monthly-national-survey-results-january/,50796,80232,1/15/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/6/2018,1/10/2018,Ipsos,B+,1320,rv,.0875263,0,43,34.7,47.63012,38.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50792,80218,1/12/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/7/2018,1/11/2018,Ipsos,B+,1324,rv,.0873173,0,43.3,33.4,47.93012,37.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50791,80217,1/12/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/8/2018,1/9/2018,YouGov,B,1312,rv,.5566145,0,44,37,49.06893,40.18279,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wtt95as3fo/econTabReport.pdf,50781,80205,1/10/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/6/2018,1/11/2018,Greenberg Quinlan Rosner,B-,720,lv,1.010672,0,48,40,46.87242,38.79692,"","",http://www.democracycorps.com/attachments/article/1079/Dcorp%20National%20Phone%20Pre-Test%20011118%20FQ_for%20release.pdf,50843,80346,1/26/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/8/2018,1/10/2018,Marist College,A,1092,rv,1.883904,0,46,40,46.15796,40.36023,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us180108_PBS_NPR/NPR_PBS%20NewsHour_Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_Trump_January%202018.pdf#page=3,50810,80263,1/18/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/8/2018,1/12/2018,Ipsos,B+,1409,rv,.0924019,0,42.6,36.1,47.23012,40.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50803,80247,1/16/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/8/2018,1/11/2018,Emerson College,B+,600,rv,1.071813,0,45.2,40.3,45.34676,39.27032,"","",http://www.emerson.edu/communication-studies/emerson-college-polling-society/latest-polls,50787,80216,1/12/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/9/2018,1/13/2018,Ipsos,B+,1354,rv,.0882899,0,40.9,35.9,45.53012,40.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50802,80246,1/16/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/10/2018,1/14/2018,Ipsos,B+,1253,rv,.0812163,0,41,35.2,45.63012,39.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50801,80245,1/16/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/10/2018,1/15/2018,Pew Research Center,B-,1215,rv,.9380875,0,53,39,52.05874,38.48808,"","",http://assets.pewresearch.org/wp-content/uploads/sites/5/2018/01/18151440/1-18-2018-Political-report-topline-for-release-FOR-STITCH.pdf,50812,80267,1/18/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/11/2018,1/15/2018,Ipsos,B+,1299,rv,.0836363,0,41.1,35.1,45.73012,39.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50800,80244,1/16/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/12/2018,1/15/2018,Zogby Interactive/JZ Analytics,C,847,lv,.8900577,0,44,34,46.1435,36.76395,"","",https://www.zogbyanalytics.com/news/849-the-zogby-poll-since-january-democrats-are-losing-support-in-the-congressional-generic-democrats-lose-big-among-millennials-and-african-americans-voters-remain-steady-in-their-support-for-republicans,50798,82757,5/14/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/12/2018,1/16/2018,Ipsos,B+,1309,rv,.0836618,0,40.3,37,44.93012,41.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50822,80284,1/19/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/12/2018,1/16/2018,Quinnipiac University,A-,1212,rv,1.014565,0,50,39,47.85197,38.74236,"","",https://poll.qu.edu/images/polling/us/us01182018_udfn34.pdf/,50807,80265,1/18/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/11/2018,1/16/2018,Morning Consult,B-,1993,rv,.4735327,0,41,38,45.30625,39.4075,"","",https://morningconsult.com/wp-content/uploads/2018/01/180108_crosstabs_POLITICO_v1_AP-1.pdf,50805,80254,1/17/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/14/2018,1/16/2018,YouGov,B,1309,rv,.5539435,0,42,36,47.06893,39.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/gcv50vr08k/econTabReport.pdf,50806,80257,1/17/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/13/2018,1/17/2018,Ipsos,B+,1258,rv,.0797607,0,40.3,35.2,44.93012,39.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50821,80283,1/19/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/13/2018,1/17/2018,NBC News/Wall Street Journal,A-,765,rv,1.24199,0,49,43,47.87023,41.83254,"","",https://www.scribd.com/document/369546604/18033-NBCWSJ-January-Poll-1-19-18-Release,50816,80296,1/21/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/14/2018,1/18/2018,Ipsos,B+,1261,rv,.0792586,0,41.5,35.6,46.13012,39.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50820,80282,1/19/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/14/2018,1/18/2018,CNN/SSRS,A-,913,rv,1.38425,0,49,44,46.44469,42.45926,"","",http://cdn.cnn.com/cnn/2018/images/01/21/democrats.2018.poll.cnn.pdf,50823,80293,1/21/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/15/2018,1/19/2018,Ipsos,B+,1318,rv,.0820957,0,40.9,35.7,45.53012,39.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50837,80310,1/23/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/15/2018,1/18/2018,ABC News/Washington Post,A+,515,lv,1.103942,0,54,40,52.79271,39.42149,"","",http://www.langerresearch.com/wp-content/uploads/1194a32018Midterms.pdf,50826,80328,1/24/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/16/2018,1/20/2018,Ipsos,B+,1776,rv,.1096187,0,41.5,35.1,46.13012,39.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50836,80309,1/23/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/17/2018,1/21/2018,Ipsos,B+,2175,rv,.1331066,0,41.2,34.8,45.83012,39.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50835,80308,1/23/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/18/2018,1/20/2018,Morning Consult,B-,1994,rv,.4515522,0,42,37,46.30625,38.4075,"","",https://morningconsult.com/wp-content/uploads/2018/01/180111_crosstabs_POLITICO_STANDARD_v1_DK-1.pdf,50870,80406,2/2/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/18/2018,1/22/2018,Ipsos,B+,2360,rv,.1432593,0,41.4,35.1,46.03012,39.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50834,80307,1/23/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/20/2018,1/21/2018,Morning Consult,B-,1997,rv,.4539059,0,43,37,47.30625,38.4075,"","",https://www.politico.com/f/?id=00000161-1fa8-d52c-abe3-7feac7e60002,50831,80304,1/22/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/19/2018,1/23/2018,Quinnipiac University,A-,1245,rv,1.041147,0,51,38,48.85197,37.74236,"","",https://poll.qu.edu/images/polling/us/us01242018_ufks28.pdf/,50840,80327,1/24/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/19/2018,1/23/2018,Ipsos,B+,2442,rv,.1473616,0,42.1,35.3,46.73012,39.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50851,80356,1/26/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/20/2018,1/24/2018,Ipsos,B+,2480,rv,.149055,0,42.3,34.7,46.93012,38.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50850,80355,1/26/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/21/2018,1/23/2018,Fox News,A,1002,rv,1.797042,0,44,38,43.89169,38.10719,"","",https://andersonrobbins.com/wp-content/uploads/2018/01/012418_national_january-24-release.pdf,50844,80337,1/24/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/21/2018,1/23/2018,YouGov,B,1297,rv,.5492976,0,41,37,46.06893,40.18279,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sqnlgzhr9l/econTabReport.pdf,50839,80326,1/24/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/21/2018,1/25/2018,Ipsos,B+,1960,rv,.1175259,0,41.5,35.2,46.13012,39.44221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50849,80354,1/26/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/22/2018,1/26/2018,Ipsos,B+,1480,rv,.0886061,0,42.1,35.7,46.73012,39.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50859,80375,1/30/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/23/2018,1/27/2018,Ipsos,B+,1562,rv,.0933662,0,42.7,34.7,47.33012,38.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50858,80374,1/30/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/24/2018,1/25/2018,Rasmussen Reports/Pulse Opinion Research,C+,1000,lv,1.022205,0,45,37,45.89047,36.5311,"","",http://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot,50853,80361,1/29/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/24/2018,1/28/2018,Ipsos,B+,1510,rv,.0901309,0,42.2,33.9,46.83012,38.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50857,80373,1/30/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/25/2018,1/29/2018,Ipsos,B+,1478,rv,.0881237,0,42.3,35.5,46.93012,39.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50856,80372,1/30/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/26/2018,1/30/2018,Ipsos,B+,1522,rv,.0906821,0,41.8,36,46.43012,40.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50869,80402,2/2/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/28/2018,1/30/2018,Monmouth University,A+,711,rv,1.520794,0,47,45,46.0224,44.15221,"","",https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_013118/,50862,80386,1/31/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/25/2018,2/2/2018,IBD/TIPP,A-,900,a,1.5449,0,46,41,45.92828,40.6555,"","",https://www.investors.com/politics/tax-cut-popularity-surges-trump-approval-2018-elections/,50874,80412,2/6/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/27/2018,1/31/2018,Ipsos,B+,1606,rv,.095659,0,42.2,35.1,46.83012,39.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50868,80401,2/2/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/28/2018,1/30/2018,YouGov,B,1265,rv,.5368673,0,42,37,47.06893,40.18279,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/81kgdte5zw/econTabReport.pdf,50861,80383,1/31/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/28/2018,2/1/2018,Ipsos,B+,1348,rv,.0803105,0,39.9,35.9,44.53012,40.14221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50867,80400,2/2/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/30/2018,2/1/2018,SurveyMonkey,D-,4424,a,.6005232,0,45,39,46.5978,39.05538,"","",http://msnbcmedia.msn.com/i/MSNBC/Components/NBCNewsSurveyMonkeySOTUPollToplinesMethodology.pdf,50865,80391,2/1/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/29/2018,2/2/2018,Ipsos,B+,1317,rv,.0784828,0,39.9,35.7,44.53012,39.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50879,80425,2/6/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/30/2018,2/3/2018,Ipsos,B+,1870,rv,.1114358,0,43.1,34.5,47.73012,38.74221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50878,80424,2/6/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/31/2018,2/4/2018,Ipsos,B+,2422,rv,.1443993,0,42.6,34.6,47.23012,38.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50877,80423,2/6/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/1/2018,2/5/2018,Ipsos,B+,2582,rv,.1542209,0,42.2,35.6,46.83012,39.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50876,80422,2/6/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/1/2018,2/4/2018,Morning Consult,B-,1985,rv,.4755658,0,42,38,46.30625,39.4075,"","",https://morningconsult.com/wp-content/uploads/2018/02/180126_crosstabs_POLITICO_v1_DK-2.pdf,50881,80435,2/7/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/2/2018,2/5/2018,Quinnipiac University,A-,1333,rv,1.209883,0,49,40,46.85197,39.74236,"","",https://poll.qu.edu/images/polling/us/us02072018_uefy24.pdf/,50883,80437,2/7/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/2/2018,2/6/2018,Ipsos,B+,2630,rv,.1576301,0,42.4,36.3,47.03012,40.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50890,80447,2/9/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/2/2018,2/7/2018,Garin-Hart-Yang/Global Strategy Group,"",1001,rv,1.245481,0,46,42,46.21965,41.01875,"","",http://www.mcclatchydc.com/news/politics-government/white-house/article199812624.html,50894,80461,2/13/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/3/2018,2/7/2018,Ipsos,B+,2666,rv,.1606281,0,42.4,36.6,47.03012,40.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50889,80446,2/9/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/4/2018,2/6/2018,YouGov,B,1313,rv,.5601448,0,43,37,48.06893,40.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5qt1ka60gv/econTabReport.pdf,50882,80436,2/7/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/4/2018,2/8/2018,Ipsos,B+,2141,rv,.1299358,0,40.8,37.8,45.43012,42.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50888,80445,2/9/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/5/2018,2/7/2018,Marist College,A,807,rv,1.385473,0,49,38,49.15796,38.36023,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us180205/Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_February%202018.pdf#page=3,50887,80444,2/9/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,1/29/2018,2/13/2018,Pew Research Center,B-,4642,a,2.066577,0,47,38,46.05874,37.48808,"","",http://assets.pewresearch.org/wp-content/uploads/sites/5/2018/04/26112459/Democracy-topline-for-release.pdf,52317,82576,4/26/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/5/2018,2/9/2018,McLaughlin & Associates,C-,1000,lv,.6932793,0,45,42,46.99123,39.50348,"","",http://mclaughlinonline.com/2018/02/12/1136/,50901,80482,2/14/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/5/2018,2/9/2018,Ipsos,B+,1578,rv,.0965902,0,41.8,37.8,46.43012,42.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50898,80473,2/13/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/6/2018,2/10/2018,Ipsos,B+,1382,rv,.0853564,0,42.1,36.6,46.73012,40.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50897,80472,2/13/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/7/2018,2/11/2018,Ipsos,B+,1256,rv,.0782548,0,41.7,35.7,46.33012,39.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50896,80471,2/13/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/8/2018,2/12/2018,Morning Consult,B-,1985,rv,.4700096,0,38,39,42.30625,40.4075,"","",https://morningconsult.com/wp-content/uploads/2018/02/180207_topline_POLITICO_v1_DK-1.pdf,50900,80481,2/14/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/8/2018,2/12/2018,Ipsos,B+,1268,rv,.0796617,0,42.5,35,47.13012,39.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50895,80470,2/13/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/9/2018,2/11/2018,Public Policy Polling,B,687,rv,1.057892,0,49,41,47.75253,40.81252,"","",https://www.publicpolicypolling.com/wp-content/uploads/2018/02/PPP_Release_National_21418.pdf,50902,80484,2/14/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/9/2018,2/13/2018,Ipsos,B+,1233,rv,.0780431,0,43.5,34.1,48.13012,38.34221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50910,80501,2/16/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/10/2018,2/14/2018,Ipsos,B+,1218,rv,.0775574,0,42,35.8,46.63012,40.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50909,80500,2/16/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/11/2018,2/13/2018,YouGov,B,1270,rv,.5422664,0,42,38,47.06893,41.18279,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/bs88nyx7rs/econTabReport.pdf,50903,80487,2/14/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/11/2018,2/15/2018,Ipsos,B+,1241,rv,.0793566,0,42.1,36.3,46.73012,40.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50908,80499,2/16/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/12/2018,2/16/2018,Ipsos,B+,1300,rv,.0833554,0,42.6,37,47.23012,41.24221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50918,80520,2/20/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/13/2018,2/17/2018,Ipsos,B+,1016,rv,.0652482,0,42.3,36.7,46.93012,40.94221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50917,80519,2/20/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/14/2018,2/18/2018,Ipsos,B+,772,rv,.0495904,0,41.7,36.6,46.33012,40.84221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50916,80518,2/20/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/15/2018,2/19/2018,Ipsos,B+,766,rv,.0491611,0,41.5,35.3,46.13012,39.54221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50915,80517,2/20/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/15/2018,2/19/2018,Morning Consult,B-,1989,rv,.4494225,0,40,38,44.30625,39.4075,"","",https://morningconsult.com/wp-content/uploads/2018/02/180211_crosstabs_POLITICO_v1_DK-1-1-1.pdf,50922,80556,2/27/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/16/2018,2/20/2018,America First Policies,"",1200,rv,1.14219,0,42,37,43.83023,37.60445,"","",https://www.americafirstpolicies.org/data/february-national-toplines/,50983,80645,3/5/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/16/2018,2/19/2018,Harris Interactive,C+,1934,rv,1.220178,0,41,36,42.82983,38.30472,"","",http://harvardharrispoll.com/wp-content/uploads/2018/02/Final_HHP_20Feb2018_RegisteredVoters_Topline_Memo.pdf,50920,80528,2/21/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/16/2018,2/20/2018,Ipsos,B+,876,rv,.0561201,0,42.8,36.4,47.43012,40.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50931,80559,2/27/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/16/2018,2/19/2018,Quinnipiac University,A-,1249,rv,1.180205,0,53,38,50.85197,37.74236,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2521,50914,80508,2/20/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/17/2018,2/21/2018,Ipsos,B+,953,rv,.0608987,0,41.7,34.8,46.33012,39.04221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50930,80558,2/27/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/18/2018,2/20/2018,YouGov,B,1297,rv,.5535867,0,43,35,48.06893,38.18279,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/57yxejgrmo/econTabReport.pdf,50923,80532,2/22/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/17/2018,2/22/2018,Tarrance Group,B,1010,lv,1.368163,0,42.5,37.5,44.10271,37.87352,"","",https://americanactionnetwork.org/wp-content/uploads/2018/02/AAN-NN-Memo.docx.pdf,50936,80554,2/26/2018,11:22:10  6 Jul 2018
All polls,7/6/2018,2/18/2018,2/22/2018,Ipsos,B+,1310,rv,.0834418,0,40.9,35.4,45.53012,39.64221,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50929,80557,2/27/2018,11:22:10  6 Jul 2018
